event;transition_id;transition_name
сообщение о происшествии;t1.1;Сообщение о происшествии
приобщено в специальное номенклатурное дело;t2.1;Закрыть рассмотрение сообщения о происшествии
отказано в возбуждении уголовного дела за отсутствием события или состава преступления;t4.2;Отказать в возбуждении УД
доследственная проверка продлена;t4.0;Доследственная проверка продлена
сообщение поступило по телефону;t1.1;Сообщение о происшествии
приобщено к материалам сообщения;t3.2;Материалы по доследственной проверке
передано по подследственности;t4.1;Передать сообщение
возбуждено дело об административном правонарушении;;
возбуждено уголовное дело;t4.3;Возбуждено УД
письменное заявление о преступлении, подписанное заявителем;t3.2;Материалы по доследственной проверке
рапорт об обнаружении признаков преступления;t1.1;Сообщение о происшествии
появление потерпевшего;t6.0;Дополнительные материалы по делу
передано по территориальности;t4.1;Передать сообщение
дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ; t6.1;Приостановить дело
вынесено определение об отказе в возбуждении дела об административном правонарушении;t2.1.1;Отказано в закрытии рассмотрения сообщения
дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ;t7.1;Дело направлено прокурором в суд
передано по подведомственности;t4.1;Передать сообщение
сообщение о преступлении поступило из канцелярии;t1.2;Обращение другого ведомства
устное сообщение о преступлении;t1.1;Сообщение о происшествии
дело направлено прокурором в суд в порядке ч. 1 ст. 226 УПК РФ;t7.1;Дело направлено прокурором в суд
сообщение об административном правонарушении;t2.1;Закрыть рассмотрения сообщения о происшествии
дело направлено прокурору в порядке ст. 220 УПК РФ;t6.3;Передать дело прокурору
дело направлено прокурору в порядке ст. 225 УПК РФ;t6.3;Передать дело прокурору
появление лица,  подозреваемого в совершении преступления;t6.0;Дополнительные материалы по делу
отказано в возбуждении уголовного дела по реабилитирующим основаниям;t4.2;Отказать в возбуждении УД
возобновлено производство по делу, ранее приостановленному;t6.1.1;Возобновить производство по приостановленному делу
дело соединено с другим делом;t6.4;Передать дело
протокол принятия устного заявления о преступлении;t1.1;Сообщение о происшествии
протокол явки с повинной;t6.0;Дополнительные материалы по делу
передано в подразделение делопроизводства и режима;t5.3;передать в подразделение делопроизводства
дело (уголовное преследование) прекращено по нереабилитирующим основаниям: п. 3 ч. 1 ст. 24 УПК РФ;t6.2;Прекратить дело
дело направлено прокурором в суд в порядке п. 1 ч. 1 ст. 226.8 УПК РФ;t7.1;Дело направлено прокурором в суд
передано по подсудности;t4.1;Передать сообщение
дело передано по подследственности без снятия с учета по ч. 5 ст. 152 УПК РФ;t6.4;Передать дело
заявление о явке с повинной;t6.0;Дополнительные материалы по делу
дело передано по подследственности без снятия с учета по ст. 151 УПК РФ;t6.4;Передать дело
дело направлено прокурору в порядке ч. 7 ст. 226.7 УПК РФ;t6.3;Передать дело прокурору
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 2 ч. 1 ст. 24 УПК РФ;t6.2;Прекратить дело
отказано в возбуждении уголовного дела по нереабилитирующим основаниям;t4.2;Отказать в возбуждении УД
дело приостановлено по п. 2 ч. 1 ст. 208 УПК РФ;t6.1;Приостановить дело
;;
постановление прокурора о направлении соответствующих материалов в орган предварительного расследования для решения вопроса об уголовном преследовании;t3.3;Передача в другой орган
заявление потерпевшего или его законного представителя по уголовному делу частного обвинения;t7.0;Дело частного обвинения
дело (уголовное преследование) прекращено по нереабилитирующим основаниям: п. 3 ч. 1 ст. 27 УПК РФ;t6.2;Прекратить дело
сообщение поступило почтой;t1.1;Сообщение о происшествии
дело (уголовное преследование) прекращено по нереабилитирующим основаниям: ст. 25 УПК РФ;t6.2;Прекратить дело
дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ;t7.2;Прокурор вернул дело
дело направлено прокурором в суд в порядке п. 1 ч. 5 ст. 439 УПК РФ;t7.1;Дело направлено прокурором в суд
возобновлено производство по делу, ранее прекращенному;t6.2.1;Возобновлено производство по ранее прекращенному делу
дело передано по подследственности со снятием с учета;t6.4;Передать дело
дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 226 УПК РФ;t7.2;Прокурор вернул дело
сообщение поступило факсимильной связью;t1.1;Сообщение о происшествии
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 1 ч. 1 ст. 24 УПК РФ;t6.2;Прекратить дело
