UNIQ_ID;event_date;event_type;conformance
1;2015-02-09; устное сообщение о преступлении ;1.000
1;2015-02-09;приобщено к материалам сообщения;1.000
2;2015-02-08;сообщение о происшествии ;1.000
2;2015-02-08;возбуждено уголовное дело ;1.000
2;2015-02-08;появление потерпевшего ;1.000
2;2015-03-26;дело направлено прокурору в порядке ст. 220 УПК РФ;1.000
2;2015-05-15;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ ;1.000
3;2015-02-10;сообщение поступило по телефону;0.851
3;2015-02-11;возбуждено уголовное дело;0.851
3;2015-02-14;появление потерпевшего;0.851
3;2015-03-12;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-12;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ;0.851
3;2015-03-14;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-14;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ;0.851
3;2015-03-17;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-17;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ;0.851
3;2015-03-18;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-19;дело направлено прокурором в суд в порядке п. 1 ч. 5 ст. 439 УПК РФ;0.851
3;2015-03-28;рассмотрено судом;0.851
